PAIS,POBLACION,SUPERFICIE EN KILOMETROS CUADRADOS,CONTINENTE
Argentina,45376777,2780400,America
japon,125800001,377975,Asia
brasil,213993437,8515767,america
alemania,83149300,357022,europa
Nigeria,239000000,923770,Africa
Australia,27400000,7741220,Oceania
España,48619695,505990,Europa
Senegal,18000000,196722,Africa
Rusia,144000000,17098250,Europa
China,1416000000,9562910,Asia
